,debtorcode,category,projno,month_year
695,300KAW005,SKIN CLEANSING,UL,2020-12
696,300KAW005,TEA,UL,2020-12
697,300KAW006,DEODORANTS & FRAGRANCES,UL,2020-12
698,300KAW006,DRESSINGS,UL,2020-12
699,300KAW006,FABRIC SOLUTIONS CATEGORY,UL,2020-12
700,300KAW006,HAIR CARE,UL,2020-12
701,300KAW006,HOME & HYGIENE,UL,2020-12
702,300KAW006,SAVOURY,UL,2020-12
703,300KAW006,SKIN CARE,UL,2020-12
704,300KAW006,SKIN CLEANSING,UL,2020-12
705,300KAW006,TEA,UL,2020-12
706,300KCE001,DRESSINGS,UL,2020-12
707,300KCE001,FABRIC SENSATIONS CATEGORY,UL,2020-12
708,300KCE001,FABRIC SOLUTIONS CATEGORY,UL,2020-12
709,300KCE001,HAIR CARE,UL,2020-12
710,300KCE001,HOME & HYGIENE,UL,2020-12
711,300KCE001,OTHER FOODS,UL,2020-12
712,300KCE001,SAVOURY,UL,2020-12
713,300KCE001,SKIN CLEANSING,UL,2020-12
714,300KCE001,TEA,UL,2020-12
715,300KCE002,DRESSINGS,UL,2020-12
716,300KCE002,FABRIC SENSATIONS CATEGORY,UL,2020-12
717,300KCE002,FABRIC SOLUTIONS CATEGORY,UL,2020-12
718,300KCE002,HAIR CARE,UL,2020-12
719,300KCE002,OTHER FOODS,UL,2020-12
720,300KCE002,SAVOURY,UL,2020-12
721,300KCE002,SKIN CARE,UL,2020-12
722,300KCE002,SKIN CLEANSING,UL,2020-12
723,300KCE002,TEA,UL,2020-12
724,300KEE001,HOME & HYGIENE,UL,2020-12
725,300KEE001,SAVOURY,UL,2020-12
726,300KGS001,HOME & HYGIENE,UL,2020-12
727,300KHO006,SKIN CLEANSING,UL,2020-12
728,300KOO001,FABRIC SOLUTIONS CATEGORY,UL,2020-12
729,300KOO001,HAIR CARE,UL,2020-12
730,300KOO001,SAVOURY,UL,2020-12
731,300KOO001,SKIN CLEANSING,UL,2020-12
732,300KOO001,TEA,UL,2020-12
733,300KOR001,FABRIC SOLUTIONS CATEGORY,UL,2020-12
734,300KOR001,HOME & HYGIENE,UL,2020-12
735,300KUB001,FABRIC SOLUTIONS CATEGORY,UL,2020-12
736,300KUB001,HOME & HYGIENE,UL,2020-12
737,300KUB001,SAVOURY,UL,2020-12
738,300KUB001,SKIN CARE,UL,2020-12
739,300KUB001,SKIN CLEANSING,UL,2020-12
740,300KWA001,HAIR CARE,UL,2020-12
741,300KWE001,FABRIC SOLUTIONS CATEGORY,UL,2020-12
742,300LEA002,FABRIC SOLUTIONS CATEGORY,UL,2020-12
743,300LEA002,HAIR CARE,UL,2020-12
744,300LEA002,HOME & HYGIENE,UL,2020-12
745,300LEA002,SKIN CLEANSING,UL,2020-12
746,300LIM007,FABRIC SOLUTIONS CATEGORY,UL,2020-12
747,300LIM007,SAVOURY,UL,2020-12
748,300LIM007,SKIN CLEANSING,UL,2020-12
749,300LIM007,TEA,UL,2020-12
